Time,Temperature,Brightness
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.31,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.25,0
07/11/2021 01:59,24.19,0
07/11/2021 01:59,24.19,0
07/11/2021 01:59,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.25,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.13,0
07/11/2021 02:00,24.19,0
07/11/2021 02:00,24.13,0
07/11/2021 02:00,24.13,0
07/11/2021 02:00,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.19,0
07/11/2021 02:01,24.19,0
07/11/2021 02:01,24.19,0
07/11/2021 02:01,24.19,0
07/11/2021 02:01,24.19,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.19,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.19,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.19,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
07/11/2021 02:01,24.13,0
